pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_rade,pl_masse,sy_dist
Kepler-1339 b,Kepler-1339,b,Transit,2016,1.341555127,1.08,,371.049
Kepler-42 b,Kepler-42,b,Transit,2011,1.2137672,0.78,,40.0595
Kepler-1951 b,Kepler-1951,b,Transit,2021,20.6577602,0.88,,1277.32
Kepler-1408 b,Kepler-1408,b,Transit,2016,2.99792926,1.12,,535.048
Kepler-1356 b,Kepler-1356,b,Transit,2016,0.634002937,1.45,,845.228
Kepler-1050 b,Kepler-1050,b,Transit,2016,15.3787546,1.6,,490.488
Kepler-377 b,Kepler-377,b,Transit,2014,12.5094525,1.491,,823.804
Kepler-1689 b,Kepler-1689,b,Transit,2020,8.48293296,0.815,,294.122
KOI-1833 d,Kepler-968,d,Transit,2021,7.684334874,1.95,,290.324
Kepler-1182 b,Kepler-1182,b,Transit,2016,11.17394617,2.05,,1545.39
Kepler-1166 b,Kepler-1166,b,Transit,2016,33.2406882,1.69,,634.906
Kepler-976 b,Kepler-976,b,Transit,2016,105.9564148,3.96,,1012.41
Kepler-975 b,Kepler-975,b,Transit,2016,1.9703213,1.5,,426.088
K2-180 b,K2-180,b,Transit,2018,8.867259,4.4,,203.896
HIP 41378 b,HIP 41378,b,Transit,2016,15.5712,2.9,,106.289
HIP 41378 c,HIP 41378,c,Transit,2016,31.6978,2.56,,106.289
Kepler-152 c,Kepler-152,c,Transit,2014,88.2553729,2.96,,441.09
Kepler-1922 b,Kepler-1922,b,Transit,2021,13.2226208,1.47,,1344.29
WASP-20 b,WASP-20,b,Transit,2015,4.8996284,16.388,98.841,211.877
Kepler-157 c,Kepler-157,c,Transit,2014,13.5405,2.24,,773.713
Kepler-1670 b,Kepler-1670,b,Transit,2020,20.4998763,2.8,,2065.98
EPIC 211945201 b,EPIC 211945201,b,Transit,2018,19.492132,6.0,,181.69
Kepler-377 b,Kepler-377,b,Transit,2014,12.5094525,1.16,,823.804
Kepler-260 c,Kepler-260,c,Transit,2014,76.0498163,1.75,,627.365
Kepler-1112 b,Kepler-1112,b,Transit,2016,14.36267939,2.55,,1671.28
TOI-4791 b,TOI-4791,b,Transit,2023,4.2809767,13.0113,,328.802
Kepler-623 b,Kepler-623,b,Transit,2016,9.07098164,2.94,,737.702
Kepler-1447 b,Kepler-1447,b,Transit,2016,56.6747285,2.84,,890.296
HATS-52 b,HATS-52,b,Transit,2017,1.36665436,15.490838,711.9392,555.134
Kepler-1377 b,Kepler-1377,b,Transit,2016,0.740928422,1.32,,1146.1
Kepler-268 b,Kepler-268,b,Transit,2014,25.9340674,2.35,,851.87
TOI-564 b,TOI-564,b,Transit,2020,1.65114558035,7.7514065,,199.581
Kepler-902 b,Kepler-902,b,Transit,2016,40.1099547,2.49,,1165.34
Kepler-1555 b,Kepler-1555,b,Transit,2016,8.10501635,1.55,,2013.27
K2-34 b,K2-34,b,Transit,2016,2.995633,13.96,,348.646
XO-4 b,XO-4,b,Transit,2010,4.1250828,14.425983,491.68301,272.655
Kepler-844 b,Kepler-844,b,Transit,2016,2.613020856,1.68,,431.776
Kepler-141 c,Kepler-141,c,Transit,2014,7.01062745,1.63,,301.183
Kepler-131 b,Kepler-131,b,Transit,2014,16.092,2.41,16.13,228.678
Kepler-149 d,Kepler-149,d,Transit,2014,160.0200597,3.84,,571.034
Kepler-335 b,Kepler-335,b,Transit,2014,6.56225728,1.69,,1278.97
K2-136 d,K2-136,d,Transit,2017,25.575065,1.45,,59.2474
Kepler-452 b,Kepler-452,b,Transit,2015,384.843022,1.13,,551.727
Kepler-303 b,Kepler-303,b,Transit,2014,1.937032068,0.94,,209.738
Kepler-883 b,Kepler-883,b,Transit,2016,12.98495573,1.53,,627.455
K2-100 b,K2-100,b,Transit,2016,1.673847,3.6,,188.959
Kepler-215 c,Kepler-215,c,Transit,2014,14.6673,1.57,,485.997
Kepler-142 c,Kepler-142,c,Transit,2014,4.761705259,2.78,,548.686
Kepler-1946 b,Kepler-1946,b,Transit,2021,3.035208688,3163.54,,1002.12
Kepler-515 b,Kepler-515,b,Transit,2016,19.96371318,1.75,,
Kepler-1718 b,Kepler-1718,b,Transit,2021,135.1898,2.52,,375.522
HIP 67522 b,HIP 67522,b,Transit,2020,6.959503,10.07,,127.28
Kepler-271 c,Kepler-271,c,Transit,2014,7.41086267,0.95,,404.542
Kepler-682 b,Kepler-682,b,Transit,2016,12.611906672,7.66,,1979.25
Kepler-1498 b,Kepler-1498,b,Transit,2016,48.0506878,2.36,,
HR 858 d,HR 858,d,Transit,2019,11.230511,2.001,7.1,31.964
Kepler-728 b,Kepler-728,b,Transit,2016,5.743477265,3.34,,1765.23
Kepler-106 c,Kepler-106,c,Transit,2014,13.57076622,2.387,,444.322
Kepler-1476 b,Kepler-1476,b,Transit,2016,10.35863224,1.8,,1002.74
Kepler-1578 b,Kepler-1578,b,Transit,2016,1.450886907,1.24,,1064.05
Kepler-497 b,Kepler-497,b,Transit,2016,3.573202801,5.81,,1291.98
TIC 139270665 b,TIC 139270665,b,Transit,2024,23.624,7.22979255,147.15455244,189.875
K2-70 b,K2-70,b,Transit,2016,13.9782,2.69,,232.964
Kepler-201 b,Kepler-201,b,Transit,2014,25.67212848,2.63,,636.445
K2-336 b,K2-336,b,Transit,2021,21.1976,1.33,,239.289
Kepler-104 d,Kepler-104,d,Transit,2014,51.75529576,3.41,,400.785
K2-68 b,K2-68,b,Transit,2016,8.05423,1.73,,168.652
Kepler-373 c,Kepler-373,c,Transit,2014,16.7261969,1.56,,1090.45
Kepler-1165 c,Kepler-1165,c,Transit,2021,29.96870041,3.36093385,,1575.2
Kepler-944 b,Kepler-944,b,Transit,2016,43.3167737,2.46,,1349.43
Kepler-1217 b,Kepler-1217,b,Transit,2016,2.032319072,1.87,,1347.71
Kepler-1645 b,Kepler-1645,b,Transit,2016,16.17803,2.25,,1202.47
Kepler-308 b,Kepler-308,b,Transit,2014,9.69502544,2.23,,1335.92
Kepler-291 b,Kepler-291,b,Transit,2014,3.54653414,2.17,,1786.48
Kepler-1522 b,Kepler-1522,b,Transit,2016,1.847889171,1.56,,814.125
